Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
1,0.99,0.012768,43.8276264667511,66.66,0.01352
1,0.97,0.009058,43.09975337982178,105.75,0.00974
1,0.95,0.008238,42.19933032989502,151.94,0.00887
10,0.99,0.012811,12.014897584915161,1918.77,0.01356
30,0.5,0.007629,8.654756307601929,1308.16,0.00793
1,0.05,0.007772,10.257708549499512,2121.01,0.00805
1,0.1,0.007637,12.004292964935303,2009.38,0.00795
1,0.15,0.007883,13.82520866394043,1899.51,0.00813
1,0.2,0.007686,15.571304082870483,1796.13,0.008
1,0.25,0.007863,17.35388731956482,1684.13,0.00812
1,0.3,0.007698,19.092144012451172,1572.63,0.00801
1,0.35,0.007768,20.96898341178894,1462.88,0.00804
1,0.4,0.007459,22.688539028167725,1356.13,0.00774
1,0.45,0.007612,24.423210859298706,1244.13,0.00794
1,0.5,0.007579,26.08144760131836,1133.88,0.00793
1,0.55,0.007681,27.83301591873169,1024.51,0.00804
1,0.6,0.0077,29.808268308639526,917.13,0.00803
1,0.65,0.007524,31.543158769607544,805.76,0.0079
1,0.7,0.007622,33.29959535598755,696.38,0.00805
1,0.75,0.007568,35.05159139633179,592.13,0.00796
1,0.8,0.007625,36.60648250579834,480.13,0.00807
1,0.85,0.007666,38.43218111991882,369.38,0.00814
1,0.9,0.007627,40.173845291137695,259.63,0.00815
1,0.95,0.008248,42.38905310630798,151.94,0.00885
1,0.96,0.008522,42.834075689315796,127.63,0.00917
1,0.97,0.008958,42.966066122055054,105.75,0.00963
1,0.98,0.009799,43.6291184425354,84.75,0.01049
1,0.99,0.012831,43.781447887420654,66.66,0.01361
2,0.05,0.007463,9.258293628692627,2121.01,0.00784
2,0.1,0.007575,10.314573526382446,2009.38,0.00791
2,0.15,0.007919,11.161980390548706,1899.51,0.00821
2,0.2,0.007746,12.360623359680176,1796.13,0.00801
2,0.25,0.007781,13.151833057403564,1684.13,0.00806
