Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
1,0.99,0.010448,30.66837787628174,15.23,0.01035
1,0.97,0.010568,30.034228324890137,27.65,0.01047
1,0.95,0.010451,29.87868595123291,40.07,0.01033
10,0.99,0.010424,9.272842168807983,442.71,0.01034
30,0.5,0.010568,5.715927600860596,320.89,0.01038
1,0.05,0.01055,6.250421047210693,599.06,0.01042
1,0.1,0.010832,7.555448293685913,573.02,0.01056
1,0.15,0.010758,8.794829607009888,537.1,0.0105
1,0.2,0.010598,10.21315622329712,505.89,0.01042
1,0.25,0.01067,11.361297607421875,477.02,0.01045
1,0.3,0.010411,12.679675102233887,443.78,0.0103
1,0.35,0.010489,14.02191424369812,417.02,0.01034
1,0.4,0.01073,15.373637199401855,381.67,0.01051
1,0.45,0.010752,16.577489137649536,350.62,0.01051
1,0.5,0.010603,17.82001805305481,320.89,0.0104
1,0.55,0.010474,18.92180871963501,288.51,0.01029
1,0.6,0.010654,20.39347815513611,259.77,0.0105
1,0.65,0.010769,21.740506410598755,226.4,0.01057
1,0.7,0.010519,23.05460000038147,199.08,0.01036
1,0.75,0.010723,24.12561535835266,164.89,0.01055
1,0.8,0.010608,25.426002740859985,133.24,0.01043
1,0.85,0.010524,26.880318880081177,104.05,0.01039
1,0.9,0.010561,28.437087297439575,71.13,0.01044
1,0.95,0.010669,29.336841821670532,40.07,0.01057
1,0.96,0.010601,30.217732429504395,34.25,0.01052
1,0.97,0.010549,29.954339504241943,27.65,0.01044
1,0.98,0.010409,30.460245847702026,21.83,0.0103
1,0.99,0.010378,30.29831838607788,15.23,0.01029
2,0.05,0.010731,5.924678325653076,599.06,0.01062
2,0.1,0.010678,7.074976921081543,573.02,0.01049
2,0.15,0.010516,8.040378093719482,537.1,0.01036
2,0.2,0.010419,9.123990774154663,505.89,0.0103
2,0.25,0.010636,10.124783515930176,477.02,0.01047
2,0.3,0.010622,11.190340042114258,443.78,0.01044
2,0.35,0.010685,12.140528202056885,417.02,0.01046
2,0.4,0.010804,13.245880603790283,381.67,0.01059
