Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
1,0.99,0.04497,1433.2645275592804,892.66,0.04956
1,0.97,0.039904,1400.5898170471191,1046.14,0.04429
1,0.95,0.040203,1369.4216434955597,1396.64,0.04431
30,0.5,0.040795,52.03372287750244,10740.71,0.04418
1,0.4,0.040933,602.5771033763885,11020.15,0.04425
1,0.45,0.04072,671.6455864906311,10146.15,0.04418
1,0.5,0.04078,741.8842480182648,9276.16,0.04426
1,0.55,0.040801,811.3637826442719,8397.15,0.04432
1,0.6,0.040689,881.2686243057251,7520.15,0.04423
1,0.65,0.040108,951.2335777282715,6646.15,0.04372
1,0.7,0.040664,1023.0508160591125,5776.15,0.0441
1,0.75,0.040429,1092.0435824394226,4897.15,0.04411
1,0.8,0.040092,1162.255052804947,4020.15,0.04379
1,0.85,0.040272,1232.1427121162415,3146.15,0.04401
1,0.9,0.039743,1299.2136867046356,2276.14,0.04369
1,0.95,0.040739,1370.8134226799011,1396.64,0.04491
1,0.96,0.04003,1385.7537171840668,1220.14,0.04433
1,0.97,0.040418,1404.92764377594,1046.14,0.04476
1,0.98,0.041062,1418.032007932663,944.16,0.04561
1,0.99,0.044818,1435.8464539051056,892.66,0.04947
2,0.4,0.041123,158.7088704109192,11020.15,0.04449
2,0.45,0.041014,173.10488748550415,10230.44,0.04436
3,0.4,0.04089,120.27645802497864,11020.15,0.04429
3,0.45,0.040945,129.8992486000061,10224.69,0.04448
4,0.4,0.040892,100.72153759002686,11020.15,0.04418
4,0.45,0.040826,107.31933093070984,10221.87,0.04429
5,0.4,0.040741,89.50456166267395,11020.15,0.04424
5,0.45,0.040682,95.66655778884888,10220.22,0.04413
5,0.5,0.040361,100.86258697509766,10722.5,0.04381
5,0.55,0.040643,106.22033905982971,11221.78,0.04421
10,0.4,0.040911,66.03407883644104,11020.15,0.04428
10,0.45,0.040849,68.15897297859192,10217.25,0.04428
10,0.5,0.040887,71.4330108165741,10719.14,0.04425
15,0.4,0.04076,58.708693504333496,11020.15,0.04441
15,0.45,0.040767,59.7709584236145,10218.97,0.0442
15,0.5,0.040894,61.41090941429138,10720.99,0.04433
20,0.4,0.040469,54.219428300857544,11020.15,0.04403
20,0.45,0.04075,55.28656578063965,10221.86,0.04407
20,0.5,0.040697,56.53368878364563,10724.14,0.04413
25,0.4,0.041085,52.27403998374939,11020.15,0.0444
25,0.45,0.040596,53.4754753112793,10237.42,0.04397
25,0.5,0.040808,54.05838942527771,10735.98,0.04425
25,0.55,0.040732,54.568368911743164,11230.52,0.04418
30,0.4,0.040572,50.72010517120361,11020.15,0.04406
30,0.45,0.040989,51.35576057434082,10238.95,0.04438
30,0.5,0.04115,52.14024567604065,10740.71,0.04455
30,0.55,0.040518,52.89230418205261,11233.88,0.04395
35,0.4,0.041085,50.24587416648865,11020.15,0.0445
35,0.45,0.040872,50.78664207458496,10228.07,0.04427
35,0.5,0.040918,51.444756269454956,10732.14,0.04422
40,0.4,0.040766,49.31588935852051,11020.15,0.0443
40,0.45,0.04082,49.594324588775635,10240.32,0.04446
40,0.5,0.040434,50.04887390136719,10742.46,0.0438
40,0.55,0.04092,50.47321033477783,11236.36,0.04433
45,0.4,0.040147,48.100302934646606,11020.15,0.04386
50,0.4,0.041106,48.23809814453125,11020.15,0.04473
50,0.45,0.041131,47.874135971069336,10233.08,0.04447
55,0.4,0.041161,47.415688276290894,11020.15,0.04442
55,0.45,0.040607,47.71684551239014,10234.8,0.04412
55,0.5,0.040355,47.71327304840088,10737.2,0.04379
60,0.4,0.040884,47.37363028526306,11020.15,0.04431
60,0.45,0.041123,46.81344723701477,10248.07,0.04462
60,0.5,0.040882,47.31711411476135,10751.89,0.04439
60,0.55,0.040972,46.81921648979187,11244.84,0.04443
65,0.4,0.040626,48.285314321517944,11020.15,0.04388
65,0.45,0.040774,48.96625471115112,10241.07,0.04421
65,0.5,0.040832,48.86364006996155,10743.91,0.04424
65,0.55,0.040408,49.54714512825012,11245.04,0.04393
70,0.4,0.041008,47.629515171051025,11020.15,0.04432
70,0.45,0.040932,48.60643196105957,10243.13,0.04436
70,0.5,0.041013,48.439252614974976,10748.68,0.0443
70,0.55,0.04094,48.89505219459534,11254.04,0.04431
75,0.4,0.040593,47.28407692909241,11020.15,0.04402
75,0.45,0.040983,47.17097496986389,10244.56,0.0445
75,0.5,0.041195,47.96853518486023,10750.69,0.04465
