Sequential Prop,Initial Time,Initial Peak Memory,Initial Loss,Sequential Time,Sequential Peak Memory,Sequential Loss,Total Loss
0.05,0.35546422004699707,980.77,0.039,4.732454061508179,794.84,0.03921,0.04113
0.1,0.35214924812316895,932.13,0.039,9.513666868209839,756.2,0.038811,0.04118
0.15,0.3521850109100342,882.21,0.039,14.776804447174072,716.26,0.038649,0.04118
0.2,0.34932780265808105,833.38,0.039,20.15925908088684,677.2,0.038791,0.04104
0.25,0.3489723205566406,785.1,0.039,25.185359716415405,638.68,0.038712,0.04086
0.3,0.3491337299346924,735.72,0.039,30.467814207077026,599.07,0.038786,0.04119
0.35,0.35086560249328613,686.89,0.039,35.728734731674194,560.01,0.038985,0.04119
0.4,0.33881378173828125,640.13,0.039,41.52134943008423,522.2,0.038978,0.04126
0.45,0.3305168151855469,590.39,0.038,46.96425437927246,482.46,0.03881,0.04104
0.5,0.32175517082214355,541.1,0.038,53.01786661148071,443.17,0.038455,0.04081
0.55,0.3167564868927002,492.13,0.038,58.01985716819763,404.2,0.038819,0.04125
0.6,0.3034555912017822,442.75,0.038,64.87682867050171,364.7,0.038712,0.04119
0.65,0.29874682426452637,394.85,0.038,72.97955274581909,326.56,0.039009,0.04144
0.7,0.29839539527893066,345.32,0.037,100.7552216053009,286.79,0.038619,0.04112
0.75,0.2840704917907715,296.27,0.037,107.62331700325012,247.51,0.038727,0.04144
0.8,0.31477856636047363,250.13,0.036,116.01354336738586,210.2,0.03834,0.04122
0.85,0.40465664863586426,200.13,0.035,121.66404438018799,170.2,0.038304,0.04118
0.9,0.2746775150299072,150.72,0.032,129.02137970924377,130.79,0.038306,0.04126
0.95,0.3403198719024658,101.66,0.028,137.82681846618652,91.96,0.03908,0.04217
0.95,0.38878822326660156,101.66,0.027,140.3083302974701,91.96,0.038937,0.04196
0.96,0.39237332344055176,92.28,0.025,138.97209477424622,84.01,0.039185,0.04212
0.97,0.3022894859313965,84.27,0.022,142.82962679862976,76.06,0.040016,0.04294
0.98,0.45657801628112793,76.41,0.016,142.70752692222595,68.2,0.040619,0.04345
0.99,0.5883193016052246,68.22,0.003,144.68181133270264,60.01,0.043816,0.04635
