Sequential Prop,Initial Time,Initial Peak Memory,Initial Loss,Sequential Time,Sequential Peak Memory,Sequential Loss,Total Loss
0.05,0.05437922477722168,235.87,0.026,1.0070695877075195,207.89,0.026468,0.02644
0.1,0.05308961868286133,224.13,0.027,2.040904998779297,197.78,0.026464,0.02662
0.15,0.05255389213562012,211.73,0.026,3.065164566040039,186.85,0.025798,0.02606
0.2,0.059739112854003906,201.4,0.025,4.12085223197937,177.42,0.025281,0.02542
0.25,0.05162525177001953,187.98,0.026,5.163919448852539,166.0,0.026136,0.02633
0.3,0.05159354209899902,176.41,0.025,6.205159902572632,155.93,0.025289,0.02543
0.35,0.0515439510345459,166.04,0.026,7.23892617225647,146.06,0.02599,0.02606
0.4,0.05623483657836914,153.4,0.026,8.277219772338867,135.42,0.025504,0.02584
0.45,0.05103945732116699,140.32,0.026,9.288503170013428,124.22,0.025557,0.02578
0.5,0.05149197578430176,128.7,0.026,10.31970500946045,114.07,0.02586,0.02613
0.55,0.0551905632019043,118.15,0.026,11.42508053779602,104.17,0.025448,0.02563
0.6,0.05368781089782715,105.27,0.027,12.378214120864868,93.42,0.026704,0.02685
0.65,0.06772065162658691,92.71,0.027,13.582551956176758,82.48,0.026694,0.02687
0.7,0.061141014099121094,80.98,0.026,14.58614444732666,72.21,0.025689,0.02584
0.75,0.06263613700866699,68.91,0.025,15.638978004455566,61.6,0.025119,0.02538
0.8,0.06340980529785156,57.27,0.026,16.903715133666992,51.28,0.02602,0.02624
0.85,0.06463503837585449,45.1,0.025,17.894724130630493,40.73,0.024911,0.02521
0.9,0.06574392318725586,33.26,0.025,19.20195746421814,30.35,0.025548,0.02577
0.95,0.0707235336303711,21.3,0.025,19.96069860458374,19.85,0.025931,0.02612
0.96,0.06668710708618164,18.92,0.024,20.35170340538025,17.77,0.025859,0.0261
0.97,0.07651638984680176,16.54,0.023,20.792064666748047,15.68,0.025267,0.02549
0.98,0.06781983375549316,14.16,0.024,20.90386700630188,13.59,0.026097,0.02643
0.99,0.06864690780639648,11.78,0.021,20.632917881011963,11.5,0.026225,0.0266
