Batch Size,Sequential Prop,Initial Time,Initial Peak Memory,Initial Loss,Sequential Time,Sequential Peak Memory,Sequential Loss,Total Loss
1,0.05,0.3781461715698242,980.77,0.039,4.709100008010864,794.84,0.039597,0.04105
1,0.1,0.37941431999206543,932.13,0.039,9.568669319152832,756.2,0.039075,0.04099
1,0.15,0.3545222282409668,882.21,0.039,17.769200086593628,716.26,0.039348,0.04106
1,0.2,0.344829797744751,833.38,0.039,26.74680233001709,677.2,0.039547,0.04139
1,0.25,0.3517916202545166,785.1,0.039,33.89274477958679,638.68,0.038548,0.04076
1,0.3,0.5096876621246338,735.72,0.039,40.73250150680542,599.07,0.039047,0.04115
1,0.35,0.5138435363769531,686.89,0.039,47.67423868179321,560.01,0.039088,0.04129
1,0.4,0.5031139850616455,640.13,0.038,54.32871890068054,522.2,0.038719,0.041
1,0.45,0.47411608695983887,590.39,0.039,61.08535075187683,482.46,0.038705,0.0412
1,0.5,0.4825146198272705,541.1,0.038,67.91584825515747,443.17,0.038725,0.04114
1,0.55,0.4794137477874756,492.13,0.038,74.73347401618958,404.2,0.038575,0.04104
1,0.6,0.46272969245910645,442.75,0.038,81.71982407569885,364.7,0.038526,0.04113
1,0.65,0.43280673027038574,394.85,0.038,90.02637076377869,326.56,0.038888,0.04134
1,0.7,0.4335947036743164,345.32,0.037,100.22343230247498,286.79,0.038544,0.04109
1,0.75,0.4225594997406006,296.27,0.037,108.8963303565979,247.51,0.038552,0.0413
1,0.8,0.41275572776794434,250.13,0.036,111.35132789611816,210.2,0.038515,0.0413
1,0.85,0.4194486141204834,200.13,0.035,117.57853937149048,170.2,0.038199,0.04102
1,0.9,0.40443897247314453,150.72,0.033,139.2233805656433,130.79,0.03838,0.0413
1,0.95,0.4177405834197998,101.66,0.028,220.60074973106384,91.96,0.039387,0.04241
1,0.96,0.408062219619751,92.28,0.025,201.62608814239502,84.01,0.039189,0.04216
1,0.97,0.4014012813568115,84.27,0.022,124.08000755310059,76.06,0.03994,0.04288
1,0.98,0.39766430854797363,76.41,0.015,109.32557368278503,68.2,0.041031,0.04384
1,0.99,0.4404575824737549,68.22,0.003,109.80276918411255,60.01,0.043616,0.04614
2,0.05,0.3836078643798828,980.77,0.039,2.0658440589904785,913.23,0.039373,0.04121
2,0.1,0.3795592784881592,932.13,0.039,4.165594577789307,993.0,0.038931,0.04103
2,0.15,0.3740677833557129,882.21,0.039,6.211280584335327,1071.47,0.038677,0.0411
2,0.2,0.372713565826416,833.38,0.039,8.295501947402954,1150.82,0.038877,0.04114
2,0.25,0.3439037799835205,785.1,0.039,10.333634376525879,1230.71,0.039296,0.04132
2,0.3,0.35840654373168945,735.72,0.039,12.37903904914856,1309.51,0.03911,0.0414
2,0.35,0.36484599113464355,686.89,0.039,14.465173959732056,1388.85,0.038904,0.04107
2,0.4,0.3314998149871826,640.13,0.039,16.613802433013916,1469.45,0.039042,0.04114
2,0.45,0.3291809558868408,590.39,0.038,18.751633882522583,1548.12,0.038569,0.04084
2,0.5,0.34789204597473145,541.1,0.039,20.81671142578125,1627.23,0.039006,0.04134
2,0.55,0.3287777900695801,492.13,0.038,23.038503170013428,1706.67,0.03885,0.04121
2,0.6,0.3195197582244873,442.75,0.038,25.305999755859375,1785.58,0.038791,0.04124
2,0.65,0.3130927085876465,394.85,0.037,27.399810075759888,1865.85,0.038571,0.04108
2,0.7,0.29839205741882324,345.32,0.037,29.61861538887024,1944.49,0.03834,0.04095
2,0.75,0.28841495513916016,296.27,0.037,31.667492151260376,2023.62,0.038479,0.04107
2,0.8,0.2991318702697754,250.13,0.036,33.80235147476196,2104.71,0.038349,0.04114
2,0.85,0.28192758560180664,200.13,0.035,36.05158567428589,2183.12,0.038221,0.0412
2,0.9,0.2774238586425781,150.72,0.032,38.43950843811035,2262.12,0.038642,0.04156
2,0.95,0.28240251541137695,101.66,0.028,40.88877081871033,2341.71,0.03903,0.04206
2,0.96,0.2773611545562744,92.28,0.025,40.563751220703125,2357.43,0.039218,0.04215
2,0.97,0.2933797836303711,84.27,0.022,41.10903453826904,2373.16,0.039811,0.04272
2,0.98,0.32582783699035645,76.41,0.015,41.589783906936646,2388.98,0.040585,0.0434
2,0.99,0.47221851348876953,68.22,0.003,42.304985761642456,2404.48,0.043632,0.04616
3,0.05,0.38382959365844727,980.77,0.039,1.4875764846801758,912.85,0.038603,0.04102
3,0.1,0.3731679916381836,932.13,0.039,2.9509105682373047,992.21,0.039218,0.04127
3,0.15,0.3684995174407959,882.21,0.039,4.449971914291382,1070.28,0.039077,0.04115
3,0.2,0.35996246337890625,833.38,0.039,5.800032377243042,1149.22,0.039157,0.04135
3,0.25,0.35355186462402344,785.1,0.039,7.2743589878082275,1228.7,0.03888,0.04104
3,0.3,0.3662996292114258,735.72,0.038,8.817123413085938,1307.09,0.038843,0.04091
3,0.35,0.3608970642089844,686.89,0.039,10.1803617477417,1386.03,0.039163,0.04118
3,0.4,0.33502840995788574,640.13,0.039,11.574806928634644,1466.22,0.03912,0.04117
3,0.45,0.34181857109069824,590.39,0.039,13.158929109573364,1544.49,0.038948,0.04127
3,0.5,0.3500099182128906,541.1,0.038,15.112059116363525,1623.19,0.038562,0.04092
3,0.55,0.3218522071838379,492.13,0.038,16.305213689804077,1702.23,0.038508,0.04094
3,0.6,0.3021271228790283,442.75,0.038,17.650954246520996,1780.73,0.038568,0.04099
3,0.65,0.29970312118530273,394.85,0.038,19.312007665634155,1860.59,0.038474,0.04099
3,0.7,0.3016319274902344,345.32,0.037,20.94342303276062,1938.82,0.038451,0.04097
3,0.75,0.3060474395751953,296.27,0.037,22.453505277633667,2017.54,0.038418,0.04116
3,0.8,0.2914612293243408,250.13,0.036,23.776075839996338,2098.23,0.038472,0.04129
3,0.85,0.2881505489349365,200.13,0.035,26.155832529067993,2176.23,0.038284,0.04129
3,0.9,0.28607940673828125,150.72,0.032,28.676231145858765,2254.83,0.038328,0.04124
3,0.95,0.28066349029541016,101.66,0.027,30.19749641418457,2334.0,0.039257,0.04226
3,0.96,0.3026397228240967,92.28,0.026,29.27497363090515,2349.65,0.039525,0.04257
3,0.97,0.2839329242706299,84.27,0.022,29.44297981262207,2365.3,0.039941,0.04288
3,0.98,0.3232285976409912,76.41,0.016,28.69152283668518,2381.04,0.040801,0.04357
3,0.99,0.4440286159515381,68.22,0.003,29.02443242073059,2396.45,0.043568,0.04605
4,0.05,0.3943753242492676,980.77,0.039,1.1170566082000732,912.68,0.039588,0.04126
4,0.1,0.3864145278930664,932.13,0.04,2.2398154735565186,991.83,0.039259,0.04158
4,0.15,0.36997556686401367,882.21,0.039,3.336824893951416,1069.69,0.038855,0.04118
4,0.2,0.36955881118774414,833.38,0.039,4.444070339202881,1148.43,0.038932,0.04122
4,0.25,0.359865665435791,785.1,0.039,5.560737371444702,1227.71,0.038988,0.0411
4,0.3,0.3623781204223633,735.72,0.039,6.630532741546631,1305.9,0.039337,0.04134
4,0.35,0.359220027923584,686.89,0.039,7.706207513809204,1384.64,0.038948,0.0412
4,0.4,0.3492281436920166,640.13,0.039,8.988473176956177,1464.62,0.039035,0.04117
4,0.45,0.3359041213989258,590.39,0.038,10.00314974784851,1542.68,0.03913,0.04124
4,0.5,0.3305957317352295,541.1,0.038,11.127800226211548,1621.19,0.038961,0.04126
4,0.55,0.3297872543334961,492.13,0.039,12.323265552520752,1700.01,0.038904,0.04142
4,0.6,0.3254857063293457,442.75,0.038,13.43327784538269,1778.31,0.038635,0.04109
4,0.65,0.30167245864868164,394.85,0.038,14.584233283996582,1857.97,0.03852,0.04111
4,0.7,0.3097410202026367,345.32,0.037,15.747238397598267,1936.0,0.038621,0.04112
4,0.75,0.28926777839660645,296.27,0.037,16.97598648071289,2014.52,0.038689,0.04148
4,0.8,0.2791171073913574,250.13,0.036,18.03384518623352,2095.0,0.038142,0.04091
4,0.85,0.270965576171875,200.13,0.035,19.227513551712036,2172.8,0.038353,0.04124
4,0.9,0.27710580825805664,150.72,0.033,20.266615629196167,2251.19,0.038309,0.04131
4,0.95,0.2820014953613281,101.66,0.027,21.497607946395874,2330.16,0.039158,0.04208
