Batch Size,Sequential Prop,Total Time,Total Peak Memory,Total Loss
1,0.05,8.73166036605835,2825.05,0.04127
1,0.1,13.467670917510986,2680.47,0.04133
1,0.15,18.31450653076172,2530.69,0.04118
1,0.2,23.039978742599487,2384.18,0.04099
1,0.25,27.923514366149902,2239.87,0.04123
1,0.3,34.28445506095886,2091.18,0.04136
1,0.35,37.95011377334595,1944.67,0.04104
1,0.4,71.66728401184082,1802.36,0.04125
1,0.45,74.55402207374573,1653.4,0.04084
1,0.5,86.70192790031433,1506.19,0.04142
1,0.55,98.12124466896057,1360.3,0.04095
1,0.6,112.01125144958496,1212.16,0.0414
1,0.65,125.8880865573883,1069.34,0.04135
1,0.7,142.18119072914124,920.02,0.04092
1,0.75,157.17200016975403,772.65,0.04103
1,0.8,170.98602437973022,632.21,0.04116
1,0.85,181.55275797843933,482.19,0.04129
1,0.9,186.82174348831177,334.54,0.04148
1,0.95,201.60082173347473,189.45,0.04194
1,0.96,195.95343470573425,159.96,0.04235
1,0.97,148.01548194885254,129.88,0.04243
1,0.98,139.02777934074402,99.73,0.04332
1,0.99,134.8090660572052,69.59,0.04587
2,0.05,6.9093918800354,2825.05,0.04114
2,0.1,9.270135641098022,2680.47,0.04104
2,0.15,11.570560932159424,2530.69,0.04087
2,0.2,13.87936782836914,2384.18,0.04118
2,0.25,16.160353422164917,2239.87,0.04111
2,0.3,18.491491079330444,2091.18,0.04113
2,0.35,20.270229816436768,1944.67,0.04116
2,0.4,22.757709980010986,1802.36,0.04099
2,0.45,25.260847330093384,1653.4,0.04096
2,0.5,28.170974016189575,1627.23,0.04122
2,0.55,29.408345937728882,1706.67,0.04131
2,0.6,32.132357597351074,1785.58,0.04137
2,0.65,33.95457482337952,1865.85,0.041
2,0.7,35.720454692840576,1944.49,0.04113
2,0.75,38.36478281021118,2023.62,0.04146
2,0.8,40.119648933410645,2104.71,0.04113
2,0.85,41.07300853729248,2183.12,0.04139
2,0.9,41.74054169654846,2262.12,0.04171
2,0.95,43.404178857803345,2341.71,0.04179
2,0.96,43.28770351409912,2357.43,0.0423
2,0.97,43.72773003578186,2373.16,0.04254
2,0.98,44.51309633255005,2388.98,0.04391
2,0.99,46.088316917419434,2404.48,0.04654
3,0.05,6.134327411651611,2825.05,0.04096
3,0.1,7.347635984420776,2680.47,0.04109
3,0.15,8.681175470352173,2530.69,0.0412
3,0.2,9.864984035491943,2384.18,0.0412
3,0.25,11.233060359954834,2239.87,0.04148
3,0.3,12.728027105331421,2091.18,0.04128
3,0.35,14.054380178451538,1944.67,0.0411
3,0.4,15.235225677490234,1802.36,0.04113
3,0.45,16.674741744995117,1653.4,0.04102
3,0.5,18.326364040374756,1623.19,0.04139
3,0.55,19.83362102508545,1702.23,0.04139
3,0.6,21.295881509780884,1780.73,0.04127
3,0.65,22.714679718017578,1860.59,0.04132
3,0.7,24.185402631759644,1938.82,0.04114
3,0.75,25.4114248752594,2017.54,0.04114
3,0.8,26.723592281341553,2098.23,0.04117
3,0.85,28.353528261184692,2176.23,0.04153
3,0.9,29.73981499671936,2254.83,0.04159
3,0.95,32.17259478569031,2334.0,0.04195
3,0.96,31.300170421600342,2349.65,0.04226
3,0.97,32.564451694488525,2365.3,0.04285
3,0.98,31.69886589050293,2381.04,0.04369
3,0.99,32.98722434043884,2396.45,0.04604
4,0.05,5.757405996322632,2825.05,0.04121
4,0.1,6.58412766456604,2680.47,0.0412
4,0.15,7.516197681427002,2530.69,0.0413
4,0.2,8.595927715301514,2384.18,0.04113
4,0.25,9.513975143432617,2239.87,0.04126
4,0.3,10.598841190338135,2091.18,0.04151
4,0.35,11.554316282272339,1944.67,0.04106
4,0.4,12.596371412277222,1802.36,0.04109
4,0.45,13.637190580368042,1653.4,0.04112
4,0.5,14.6198410987854,1621.19,0.04078
4,0.55,15.63905644416809,1700.01,0.04122
