Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
1,0.99,0.014524,43.7089307308197,66.66,0.01569
1,0.97,0.010318,43.083625078201294,105.75,0.01132
1,0.95,0.009813,42.07691478729248,151.94,0.01074
10,0.99,0.014295,12.139539957046509,1918.77,0.01545
30,0.5,0.008863,8.630475759506226,1308.16,0.00937
1,0.05,0.00885,10.26448917388916,2121.01,0.00934
1,0.1,0.009142,12.026284217834473,2009.38,0.00964
1,0.15,0.009179,13.851949453353882,1899.51,0.00969
1,0.2,0.008929,15.570895195007324,1796.13,0.00945
1,0.25,0.009316,17.22750473022461,1684.13,0.00975
1,0.3,0.009171,19.215365886688232,1572.63,0.00965
1,0.35,0.008937,20.982840061187744,1462.88,0.00947
1,0.4,0.0089,22.83925485610962,1356.13,0.00943
1,0.45,0.008723,24.46797490119934,1244.13,0.00932
1,0.5,0.008795,26.139787197113037,1133.88,0.00941
1,0.55,0.008968,27.9823317527771,1024.51,0.00955
1,0.6,0.009034,29.764233589172363,917.13,0.00964
1,0.65,0.009042,31.465758800506592,805.76,0.00972
1,0.7,0.008844,33.34983229637146,696.38,0.00949
1,0.75,0.009205,35.080769062042236,592.13,0.0099
1,0.8,0.008955,36.80140042304993,480.13,0.00964
1,0.85,0.009051,38.46217083930969,369.38,0.0098
1,0.9,0.009106,40.483150005340576,259.63,0.0099
1,0.95,0.009675,42.14716076850891,151.94,0.0106
1,0.96,0.009891,42.44343662261963,127.63,0.01083
1,0.97,0.010382,43.05582308769226,105.75,0.01136
1,0.98,0.011385,43.423213720321655,84.75,0.01239
1,0.99,0.014271,43.87422251701355,66.66,0.01545
2,0.05,0.009019,9.522374391555786,2121.01,0.00959
2,0.1,0.008864,10.363571643829346,2009.38,0.00949
2,0.15,0.008911,11.270135641098022,1899.51,0.00949
2,0.2,0.009053,12.316595077514648,1796.13,0.00963
2,0.25,0.008976,13.096844673156738,1684.13,0.00951
2,0.3,0.009059,14.388327836990356,1572.63,0.00952
2,0.35,0.008877,15.359332084655762,1462.88,0.00947
2,0.4,0.008834,16.271109104156494,1356.13,0.00943
2,0.45,0.008887,17.228273391723633,1248.72,0.0094
2,0.5,0.008841,18.323707818984985,1311.95,0.00946
2,0.55,0.009269,19.28027367591858,1375.43,0.0096
2,0.6,0.009078,20.295649766921997,1439.4,0.0096
2,0.65,0.008812,21.416523933410645,1502.38,0.0094
2,0.7,0.008897,22.348315715789795,1565.86,0.00957
2,0.75,0.009012,23.493640661239624,1631.08,0.00969
2,0.8,0.008986,24.667657136917114,1693.81,0.00966
