Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
1,0.99,0.012696,30.257312297821045,15.23,0.01291
1,0.97,0.012745,30.20587658882141,27.65,0.01294
1,0.95,0.012709,29.181718349456787,40.07,0.01288
10,0.99,0.01248,9.148974180221558,442.71,0.01273
30,0.5,0.012851,5.613588809967041,320.89,0.01291
1,0.05,0.013155,6.298746109008789,599.06,0.01312
1,0.1,0.012907,7.6383726596832275,573.02,0.01311
1,0.15,0.013004,8.947380304336548,537.1,0.01308
1,0.2,0.014581,9.961105585098267,505.89,0.01432
1,0.25,0.013354,11.496214628219604,477.02,0.01329
1,0.3,0.012914,12.54342532157898,443.78,0.01293
1,0.35,0.013095,14.003165483474731,417.02,0.01308
1,0.4,0.013143,15.25915002822876,381.67,0.01314
1,0.45,0.013075,16.558528661727905,350.62,0.0131
1,0.5,0.012858,18.021219730377197,320.89,0.01301
1,0.55,0.012877,19.439491510391235,288.51,0.01286
1,0.6,0.01306,20.333032846450806,259.77,0.01309
1,0.65,0.012879,21.921292543411255,226.4,0.01289
1,0.7,0.012671,23.17662286758423,199.08,0.01274
1,0.75,0.012731,24.579071283340454,164.89,0.01289
1,0.8,0.012963,25.683632373809814,133.24,0.01309
1,0.85,0.01274,27.139882802963257,104.05,0.01281
1,0.9,0.012761,28.07570242881775,71.13,0.01281
1,0.95,0.012819,29.716875314712524,40.07,0.01302
1,0.96,0.012805,29.947474002838135,34.25,0.01304
1,0.97,0.012839,30.04155445098877,27.65,0.013
1,0.98,0.012578,30.146822929382324,21.83,0.01281
1,0.99,0.012674,30.837915182113647,15.23,0.01286
2,0.05,0.014541,6.013839244842529,599.06,0.01455
2,0.1,0.014469,7.051313161849976,573.02,0.01444
2,0.15,0.014096,8.138522624969482,537.1,0.01404
2,0.2,0.014009,9.106674432754517,505.89,0.01392
2,0.25,0.013792,10.24898362159729,477.02,0.01362
2,0.3,0.012881,11.18037748336792,443.78,0.01298
2,0.35,0.013125,12.168583154678345,417.02,0.01307
2,0.4,0.013769,13.207005739212036,381.67,0.01343
2,0.45,0.013083,14.319673299789429,350.62,0.01311
2,0.5,0.012836,15.404252529144287,327.79,0.01286
2,0.55,0.012829,16.5500168800354,342.37,0.01294
2,0.6,0.013321,17.362316846847534,358.04,0.01315
2,0.65,0.012781,18.529863119125366,372.55,0.01288
2,0.7,0.01272,19.26930809020996,388.57,0.0128
2,0.75,0.012697,20.53150200843811,402.83,0.01278
2,0.8,0.012834,21.54192543029785,417.81,0.01294
2,0.85,0.01302,22.465781927108765,433.37,0.0131
2,0.9,0.012757,23.77734398841858,447.99,0.01285
2,0.95,0.012923,24.63794493675232,463.07,0.01309
2,0.96,0.012717,25.027096271514893,466.09,0.01286
2,0.97,0.012526,25.10228729248047,469.11,0.01267
2,0.98,0.01273,25.13533854484558,472.13,0.01297
2,0.99,0.012789,25.453593969345093,475.15,0.01305
3,0.05,0.014154,5.712989091873169,599.06,0.01421
3,0.1,0.012977,6.345322132110596,573.02,0.01304
3,0.15,0.013584,7.032041788101196,537.1,0.01359
3,0.2,0.012847,7.769896507263184,505.89,0.0129
3,0.25,0.013184,8.463088512420654,477.02,0.01319
3,0.3,0.012979,9.240676879882812,443.78,0.01295
3,0.35,0.013025,9.935760736465454,417.02,0.01313
3,0.4,0.014091,10.760479927062988,381.67,0.0137
3,0.45,0.013276,11.416538000106812,350.62,0.01316
3,0.5,0.014251,12.11858868598938,320.89,0.01366
3,0.55,0.013094,12.746689796447754,333.78,0.01309
3,0.6,0.012986,13.398168802261353,348.67,0.01287
3,0.65,0.012821,14.19503927230835,362.4,0.01294
3,0.7,0.013129,14.894613981246948,377.64,0.01325
3,0.75,0.013067,15.54063606262207,391.12,0.01309
3,0.8,0.012816,16.257986545562744,405.32,0.01297
3,0.85,0.012883,16.976710557937622,420.09,0.01298
3,0.9,0.012683,17.58833885192871,433.93,0.01278
3,0.95,0.01273,18.686435222625732,448.24,0.01288
3,0.96,0.01276,18.58325481414795,451.1,0.01296
3,0.97,0.012621,18.63330101966858,453.96,0.01282
3,0.98,0.012759,18.8121120929718,456.82,0.01293
3,0.99,0.012763,19.184520483016968,459.68,0.01303
4,0.05,0.012915,5.397615432739258,599.06,0.01307
4,0.1,0.012863,6.029120683670044,573.02,0.01302
4,0.15,0.013129,6.537004709243774,537.1,0.01309
4,0.2,0.013175,6.991909980773926,505.89,0.01317
4,0.25,0.012938,7.647071123123169,477.02,0.01309
4,0.3,0.012693,8.156633853912354,443.78,0.0128
4,0.35,0.012996,8.588460206985474,417.02,0.01298
4,0.4,0.01343,9.196571350097656,381.67,0.01318
4,0.45,0.013273,9.702037811279297,350.62,0.01313
4,0.5,0.013035,10.30234956741333,320.89,0.01303
4,0.55,0.013166,10.783472061157227,329.49,0.01325
4,0.6,0.013085,11.30669617652893,343.99,0.01306
4,0.65,0.01306,11.871591806411743,357.33,0.01297
4,0.7,0.013008,12.469797611236572,372.18,0.0131
4,0.75,0.012888,12.950193405151367,385.27,0.01292
4,0.8,0.01286,13.556748867034912,399.07,0.01292
4,0.85,0.012759,14.065770149230957,413.46,0.01288
4,0.9,0.012932,14.470340728759766,426.91,0.01309
4,0.95,0.012875,15.135596513748169,440.82,0.01291
4,0.96,0.012718,15.325912475585938,443.6,0.01286
4,0.97,0.012703,15.35599946975708,446.39,0.01295
4,0.98,0.012812,15.320791721343994,449.17,0.01301
4,0.99,0.012684,15.480957984924316,451.95,0.01291
5,0.05,0.015096,5.419949054718018,599.06,0.01486
5,0.1,0.013244,5.872227668762207,573.02,0.01341
5,0.15,0.01275,6.255902528762817,537.1,0.01287
5,0.2,0.013512,6.620638608932495,505.89,0.01341
5,0.25,0.013665,7.123003959655762,477.02,0.0137
5,0.3,0.012952,7.591063022613525,443.78,0.01306
5,0.35,0.013377,7.94792628288269,417.02,0.01336
5,0.4,0.012756,8.377827882766724,381.67,0.01277
5,0.45,0.012757,8.852941036224365,350.62,0.01288
5,0.5,0.01284,9.326403856277466,320.89,0.0129
5,0.55,0.013091,9.631834268569946,326.92,0.01307
5,0.6,0.012769,10.025087356567383,341.18,0.01284
5,0.65,0.012893,10.47348403930664,354.29,0.01297
5,0.7,0.012873,11.037521362304688,368.9,0.01293
5,0.75,0.012684,11.461068630218506,381.76,0.01275
5,0.8,0.012756,11.773799180984497,395.33,0.01288
5,0.85,0.012769,12.249935150146484,409.48,0.01292
5,0.9,0.012881,12.68857479095459,422.69,0.01292
5,0.95,0.012626,13.126829385757446,436.38,0.0128
5,0.96,0.012858,13.157511711120605,439.11,0.01303
5,0.97,0.012793,13.267539262771606,441.85,0.013
5,0.98,0.01282,13.474791049957275,444.58,0.01304
5,0.99,0.012712,13.386882543563843,447.32,0.01294
10,0.05,0.013936,5.22879433631897,599.06,0.01385
10,0.1,0.012973,5.387093544006348,573.02,0.01302
10,0.15,0.014153,5.674861907958984,537.1,0.0139
10,0.2,0.013036,5.802382230758667,505.89,0.01298
10,0.25,0.013058,6.047476291656494,477.02,0.01305
10,0.3,0.013106,6.325581789016724,443.78,0.01315
10,0.35,0.012928,6.550817966461182,417.02,0.01294
10,0.4,0.012832,6.6763153076171875,381.67,0.0129
10,0.45,0.012884,6.993962526321411,350.62,0.01295
10,0.5,0.01315,7.1697728633880615,320.89,0.01303
10,0.55,0.012854,7.355621337890625,324.38,0.01294
10,0.6,0.012874,7.589637756347656,338.4,0.01289
10,0.65,0.012658,7.791341781616211,351.27,0.01281
10,0.7,0.012982,8.012369394302368,365.65,0.01306
10,0.75,0.012861,8.306193351745605,378.28,0.01298
10,0.8,0.012943,8.416113376617432,391.61,0.01304
10,0.85,0.012793,8.640294551849365,405.53,0.01292
10,0.9,0.012743,8.897174596786499,418.51,0.01287
10,0.95,0.012762,9.092196226119995,431.95,0.01287
10,0.96,0.012562,9.134852647781372,434.64,0.01275
10,0.97,0.012526,9.135137796401978,437.33,0.01272
10,0.98,0.012726,9.23849892616272,440.02,0.01294
10,0.99,0.01278,9.260631322860718,442.71,0.013
15,0.05,0.01296,5.149313688278198,599.06,0.01303
15,0.1,0.012968,5.279826641082764,573.02,0.01295
15,0.15,0.013077,5.40568208694458,537.1,0.01315
15,0.2,0.013067,5.556014060974121,505.89,0.01314
15,0.25,0.013579,5.669671297073364,477.02,0.01351
15,0.3,0.013214,5.8656086921691895,443.78,0.0132
15,0.35,0.01341,6.024980068206787,417.02,0.01324
15,0.4,0.013035,6.144402503967285,381.67,0.01308
15,0.45,0.014039,6.18736720085144,350.62,0.01365
15,0.5,0.012784,6.454867839813232,320.89,0.01291
15,0.55,0.013363,6.554605007171631,323.55,0.01316
15,0.6,0.014126,6.562663316726685,337.5,0.01352
15,0.65,0.01297,6.836498737335205,350.29,0.01301
15,0.7,0.01304,6.9998204708099365,364.59,0.01287
15,0.75,0.01271,7.076278924942017,377.14,0.01286
15,0.8,0.012859,7.1457178592681885,390.39,0.0129
15,0.85,0.012599,7.32319974899292,404.23,0.01275
15,0.9,0.012855,7.5107903480529785,417.13,0.01287
15,0.95,0.012629,7.5495827198028564,430.5,0.01281
15,0.96,0.012794,7.653107166290283,433.18,0.01292
15,0.97,0.012746,7.702831745147705,435.85,0.01294
15,0.98,0.012651,7.745500087738037,438.52,0.01283
15,0.99,0.012584,7.778341293334961,441.2,0.01281
20,0.05,0.01259,5.071655035018921,599.06,0.01286
20,0.1,0.012925,5.213526010513306,573.02,0.01291
20,0.15,0.013049,5.326098918914795,537.1,0.0132
20,0.2,0.013172,5.333319187164307,505.89,0.01312
