Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
1,0.99,0.010692,105.44895768165588,84.75,0.0113
1,0.97,0.008805,104.04541945457458,171.38,0.00932
1,0.95,0.008524,102.40049004554749,259.63,0.00899
10,0.99,0.010474,41.64489722251892,3786.01,0.01109
30,0.5,0.008454,34.45988702774048,2563.36,0.0087
1,0.05,0.008484,37.30494046211243,4196.39,0.00859
1,0.1,0.008208,41.068875312805176,3980.14,0.00846
1,0.15,0.008456,44.261051654815674,3759.64,0.00867
1,0.2,0.008292,48.30538821220398,3540.14,0.00858
1,0.25,0.0083,52.03974533081055,3324.88,0.00856
1,0.3,0.008367,55.48076891899109,3102.63,0.00859
1,0.35,0.008281,59.09092044830322,2888.13,0.00857
1,0.4,0.008214,62.18908357620239,2666.13,0.00853
1,0.45,0.008106,66.17600107192993,2448.13,0.0084
1,0.5,0.008231,69.7481758594513,2227.63,0.0085
1,0.55,0.008315,73.4675965309143,2009.38,0.0086
1,0.6,0.008287,76.97666454315186,1796.13,0.00861
1,0.65,0.00825,80.74826884269714,1572.63,0.00857
1,0.7,0.008141,84.1406397819519,1356.13,0.00846
1,0.75,0.008389,88.50165176391602,1133.88,0.00872
1,0.8,0.008269,91.57289266586304,917.13,0.00863
1,0.85,0.008288,95.510915517807,696.38,0.00867
1,0.9,0.008646,99.32526326179504,480.13,0.00907
1,0.95,0.008599,102.36677122116089,259.63,0.00907
1,0.96,0.008767,103.26595568656921,217.13,0.00926
1,0.97,0.009158,103.43316793441772,171.38,0.00967
1,0.98,0.009463,104.47112536430359,127.63,0.01002
1,0.99,0.010637,105.69384956359863,84.75,0.01125
2,0.05,0.00843,35.4328773021698,4196.39,0.00881
2,0.1,0.008439,37.43809390068054,3980.14,0.00867
2,0.15,0.008339,39.5989453792572,3759.64,0.00866
2,0.2,0.008342,41.95887207984924,3540.14,0.00861
2,0.25,0.008273,43.483393907547,3324.88,0.00849
2,0.3,0.008341,45.446823835372925,3102.63,0.00857
2,0.35,0.008167,47.9414381980896,2888.13,0.00843
2,0.4,0.008101,49.992873191833496,2666.13,0.00839
2,0.45,0.008294,51.939688205718994,2448.13,0.00855
2,0.5,0.008241,54.29163146018982,2571.71,0.00855
2,0.55,0.008315,56.97946548461914,2698.79,0.00863
2,0.6,0.008137,58.35122299194336,2827.62,0.00843
2,0.65,0.008373,60.82261323928833,2953.2,0.00867
2,0.7,0.008324,63.016154050827026,3080.53,0.00866
2,0.75,0.008174,65.28260469436646,3206.48,0.00852
2,0.8,0.00828,66.85302734375,3333.93,0.00862
2,0.85,0.00805,69.77556109428406,3460.39,0.00843
2,0.9,0.008323,71.40990948677063,3588.34,0.00873
2,0.95,0.008583,73.57063388824463,3714.67,0.00906
2,0.96,0.00879,74.09956860542297,3740.18,0.00929
2,0.97,0.008964,75.038081407547,3765.07,0.00946
2,0.98,0.009318,75.07414388656616,3790.46,0.00986
2,0.99,0.010474,75.00731682777405,3816.73,0.01109
3,0.05,0.008124,34.86535978317261,4196.39,0.00859
3,0.1,0.008538,36.33564066886902,3980.14,0.00872
3,0.15,0.00829,37.43703103065491,3759.64,0.00857
3,0.2,0.008207,38.83744287490845,3540.14,0.00851
3,0.25,0.008298,40.291303873062134,3324.88,0.00858
3,0.3,0.008258,41.539209604263306,3102.63,0.00853
3,0.35,0.008234,43.24800634384155,2888.13,0.00848
3,0.4,0.008195,44.683854818344116,2666.13,0.00851
3,0.45,0.008361,45.85535001754761,2448.13,0.00861
3,0.5,0.008423,47.34917759895325,2565.23,0.00869
3,0.55,0.008103,48.412047386169434,2691.66,0.00839
3,0.6,0.008211,50.2081618309021,2819.84,0.00849
3,0.65,0.008063,51.96302318572998,2944.76,0.00838
3,0.7,0.008216,53.51328158378601,3071.44,0.00856
3,0.75,0.008163,54.88538122177124,3196.74,0.00848
3,0.8,0.008153,56.16556429862976,3323.54,0.0085
3,0.85,0.008459,57.37693738937378,3449.35,0.00885
3,0.9,0.008281,58.899983406066895,3576.65,0.00867
3,0.95,0.008498,60.2793824672699,3702.33,0.00897
3,0.96,0.008685,60.83470845222473,3727.71,0.00917
3,0.97,0.008751,61.11355519294739,3752.47,0.00927
3,0.98,0.009494,61.33416771888733,3777.73,0.01005
3,0.99,0.010895,61.351566314697266,3803.87,0.01152
4,0.05,0.008428,34.543065309524536,4196.39,0.00862
4,0.1,0.008563,35.60825753211975,3980.14,0.00885
4,0.15,0.008256,36.80442023277283,3759.64,0.00857
4,0.2,0.008399,37.41376566886902,3540.14,0.00864
4,0.25,0.008219,38.61657500267029,3324.88,0.00846
4,0.3,0.008285,39.56524610519409,3102.63,0.00856
4,0.35,0.008483,40.53746724128723,2888.13,0.00878
4,0.4,0.008323,41.69619560241699,2666.13,0.00863
4,0.45,0.008275,42.685237646102905,2448.13,0.00856
4,0.5,0.008164,43.71974039077759,2562.0,0.00847
4,0.55,0.00818,44.965739488601685,2688.11,0.00844
4,0.6,0.008208,45.874821186065674,2815.96,0.00847
4,0.65,0.008305,47.2041220664978,2940.56,0.0086
4,0.7,0.008239,48.33056426048279,3066.91,0.00854
4,0.75,0.008062,49.1888542175293,3191.89,0.00839
4,0.8,0.008062,50.24244976043701,3318.36,0.00841
4,0.85,0.008376,51.119014501571655,3443.84,0.00875
4,0.9,0.008288,52.42625856399536,3570.82,0.0087
4,0.95,0.008549,53.778780460357666,3696.17,0.00903
4,0.96,0.008616,54.00963830947876,3721.49,0.00911
4,0.97,0.008937,54.3606903553009,3746.18,0.00947
4,0.98,0.009398,54.1866888999939,3771.38,0.00995
4,0.99,0.010697,54.15215468406677,3797.45,0.0113
5,0.05,0.008458,34.35227584838867,4196.39,0.0087
5,0.1,0.008122,35.12242341041565,3980.14,0.00848
5,0.15,0.008348,35.634132623672485,3759.64,0.0086
5,0.2,0.008291,36.73527693748474,3540.14,0.00855
5,0.25,0.00847,37.74771022796631,3324.88,0.00875
5,0.3,0.008239,38.26434373855591,3102.63,0.00853
5,0.35,0.00819,39.145023345947266,2888.13,0.00845
5,0.4,0.008319,39.86369776725769,2666.13,0.00858
5,0.45,0.008261,41.26189708709717,2448.13,0.00855
5,0.5,0.008288,41.57287120819092,2560.08,0.00857
5,0.55,0.00808,42.36709642410278,2685.98,0.00835
5,0.6,0.008223,43.16083359718323,2813.64,0.00849
5,0.65,0.008251,43.951247692108154,2938.05,0.00854
5,0.7,0.008115,44.91739821434021,3064.2,0.00842
5,0.75,0.008126,45.90822172164917,3188.98,0.00848
5,0.8,0.008227,46.73528599739075,3315.27,0.00857
5,0.85,0.008365,47.84883785247803,3440.55,0.00874
5,0.9,0.008478,48.651313066482544,3567.33,0.00886
5,0.95,0.008426,49.265883684158325,3692.48,0.00889
5,0.96,0.008731,49.68534517288208,3717.77,0.00922
5,0.97,0.008987,49.74091935157776,3742.42,0.00952
5,0.98,0.009456,49.97927284240723,3767.58,0.01001
5,0.99,0.010803,49.8373920917511,3793.61,0.01142
10,0.05,0.008423,33.97761821746826,4196.39,0.00868
10,0.1,0.008289,34.32580327987671,3980.14,0.00863
10,0.15,0.008243,34.91401982307434,3759.64,0.00856
10,0.2,0.00825,35.003633975982666,3540.14,0.00854
10,0.25,0.008114,35.3725528717041,3324.88,0.00845
10,0.3,0.008277,35.75853943824768,3102.63,0.00853
10,0.35,0.008217,36.128817558288574,2888.13,0.00851
10,0.4,0.008175,36.43416452407837,2666.13,0.00846
10,0.45,0.00836,36.88121294975281,2448.13,0.00858
10,0.5,0.008601,37.19042730331421,2556.31,0.00874
10,0.55,0.008275,37.63875985145569,2681.82,0.00859
10,0.6,0.008147,38.050493001937866,2809.09,0.00846
10,0.65,0.008131,38.64310169219971,2933.11,0.00844
10,0.7,0.008345,39.00509452819824,3058.87,0.00868
10,0.75,0.008295,39.52006816864014,3183.26,0.00863
10,0.8,0.008219,39.76586556434631,3309.15,0.00859
10,0.85,0.008332,40.37551140785217,3434.04,0.00872
10,0.9,0.008225,40.72827386856079,3560.43,0.00862
