Batch Size,Initial Time,Initial Peak Memory,Initial Loss,Sequential Time,Sequential Peak Memory,Sequential Loss,Total Loss
1,0.4746696949005127,68.22,0.003,111.6800217628479,60.01,0.043674,0.04625
2,0.4970054626464844,68.22,0.004,52.78441095352173,2404.48,0.043752,0.04628
3,0.5003645420074463,68.22,0.004,37.06379413604736,2396.45,0.043813,0.04635
4,0.5090696811676025,68.22,0.004,29.725103855133057,2392.45,0.043753,0.04623
5,0.4877965450286865,68.22,0.003,24.58040761947632,2390.06,0.043857,0.04649
10,0.5204308032989502,68.22,0.003,15.349715232849121,2385.36,0.043158,0.04565
15,0.4970118999481201,68.22,0.003,12.658744096755981,2387.11,0.043674,0.0462
20,0.5007400512695312,68.22,0.003,11.396627187728882,2390.47,0.043875,0.04641
25,0.49721860885620117,68.22,0.003,10.58808422088623,2390.61,0.043627,0.0462
30,0.4876978397369385,68.22,0.003,9.706036567687988,2393.96,0.043792,0.04637
35,0.5125243663787842,68.22,0.003,10.2424635887146,2395.02,0.043447,0.04594
40,0.5209856033325195,68.22,0.003,9.815881967544556,2397.06,0.043304,0.0458
45,0.47498297691345215,68.22,0.003,9.639145374298096,2398.67,0.043713,0.04621
50,0.46505284309387207,68.22,0.003,9.313091278076172,2400.96,0.043637,0.0462
55,0.47867298126220703,68.22,0.003,9.103067636489868,2402.85,0.043538,0.04602
60,0.46929264068603516,68.22,0.003,8.89377236366272,2405.26,0.04354,0.04606
65,0.496077299118042,68.22,0.003,9.179526805877686,2407.31,0.043504,0.04607
70,0.4763364791870117,68.22,0.004,9.115878105163574,2409.1,0.043802,0.0463
75,0.48235487937927246,68.22,0.003,9.071692705154419,2410.66,0.043835,0.04636
80,0.495985746383667,68.22,0.003,8.91287350654602,2412.65,0.043466,0.04603
85,0.4819316864013672,68.22,0.003,8.633266925811768,2414.98,0.043459,0.04594
90,0.48694539070129395,68.22,0.003,8.535903215408325,2457.91,0.043527,0.04605
95,0.5273759365081787,68.22,0.003,8.473681449890137,2509.47,0.043867,0.04636
100,0.49427175521850586,68.22,0.003,8.510504484176636,2450.66,0.04367,0.04618
